instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
83;9x21_left2_right2-26-3;26;1;24704;143837;676;158.5;359437;3661501;659;600;1;24704;143837;676;159.35;359437;3661501;676;600;2;37943;144374;-1;600;-1;-1;723;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;637.587
84;9x21_left2_right2-26-4;26;2;27798;170288;-1;600;-1;-1;749;600;2;27798;170288;-1;600;-1;-1;749;600;2;44181;170667;-1;600;-1;-1;747;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;613.23
85;9x21_left2_right2-26-5;26;2;27757;171402;-1;600;-1;-1;750;600;2;27757;171402;-1;600;-1;-1;750;600;2;44216;171054;-1;600;-1;-1;747;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;648.309
86;9x21_left2_right2-26-6;26;2;27452;166936;-1;600;-1;-1;744;600;2;27452;166936;-1;600;-1;-1;744;600;2;43351;167196;-1;600;-1;-1;748;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;616.054
87;9x21_left2_right2-26-7;26;1;24223;138196;669;87.37;338156;3433619;666;600;1;24223;138196;669;86.21;338156;3433619;669;600;1;36761;139600;669;39.94;751557;3178538;666;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;934.18
88;9x21_left2_right2-26-8;26;1;24175;138210;665;491.89;324494;3288996;665;600;1;24175;138210;665;521.2;324494;3288996;665;600;1;36754;139351;665;139.72;720245;3045404;665;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;611.986
89;9x21_left2_right2-26-9;26;2;27698;169786;-1;600;-1;-1;742;600;2;27698;169786;-1;600;-1;-1;742;600;2;44016;170299;-1;600;-1;-1;752;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;622.06
90;9x21_left2_right2-28-0;28;2;28550;179069;-1;600;-1;-1;805;600;2;28550;179069;-1;600;-1;-1;805;600;2;46173;178886;-1;600;-1;-1;804;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;760.638
91;9x21_left2_right2-28-1;28;2;28979;183606;-1;600;-1;-1;807;600;2;28979;183606;-1;600;-1;-1;807;600;2;47119;182755;-1;600;-1;-1;805;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;601.633
92;9x21_left2_right2-28-2;28;2;29228;186324;-1;600;-1;-1;810;600;2;29228;186324;-1;600;-1;-1;810;600;2;47743;185504;-1;600;-1;-1;805;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;617.52
