instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
41;Instance-20-10-28-1_enc1;28;0;138674;1046523;355;0.9;169889;1380984;355;1.15;0;138674;1046523;355;0.83;169889;1380984;355;1.06;0;223853;1040906;355;0.53;289084;1358006;355;1.19;0;434649;95510;355;2.378884077;565628;120812;355;4.473774195;0;;;;;;;357;0.819
42;Instance-20-10-28-2_enc1;28;0;147098;1149258;428;1;158287;1269957;428;1.27;0;147098;1149258;428;0.81;158287;1269957;428;1.03;0;243656;1134157;428;0.61;267198;1248397;428;1.26;0;473531;100135;428;2.958737135;520970;109441;428;5.052625179;0;;;;;;;434;4.028
43;Instance-20-10-28-3_enc1;28;0;171486;1423444;369;1.22;231607;2111357;369;1.73;0;171486;1423444;369;1.26;231607;2111357;369;1.74;0;295637;1392610;369;0.75;427190;2035965;369;2.04;0;577553;120617;369;6.382855177;841698;171001;369;7.291791677;0;;;;;;;372;3.711
44;Instance-20-10-28-4_enc1;28;0;74924;458123;365;0.38;91358;609557;365;0.49;0;74924;458123;365;0.36;91358;609557;365;0.48;0;104490;463277;365;0.24;135033;611490;365;0.55;0;186543;39684;365;1.066702604;250033;53253;365;2.039774418;0;;;;;;;369;2.465
45;Instance-20-10-28-5_enc1;28;0;143486;1103045;427;0.91;201584;1744547;427;1.38;0;143486;1103045;427;0.99;201584;1744547;427;1.38;0;234738;1090977;427;0.63;359039;1696022;427;1.64;0;454611;97105;427;3.448612452;705191;145780;427;7.212322474;3;;;;;;;-1;847.111
46;Instance-20-10-28-6_enc1;28;0;68417;390167;354;0.4;119856;877391;354;0.6;0;68417;390167;354;0.4;119856;877391;354;0.59;0;91091;398386;354;0.22;188975;873496;354;0.67;0;160739;35898;354;0.929511309;361521;78087;354;2.869233131;0;;;;;;;363;53.768
47;Instance-20-10-28-7_enc1;28;0;161074;1278837;464;0.98;184222;1534344;464;1.23;0;161074;1278837;464;1.06;184222;1534344;464;1.32;0;268978;1261319;464;0.63;318465;1502644;464;1.44;0;523585;111805;464;2.906119108;623054;130898;464;6.015287638;0;;;;;;;469;3.733
48;Instance-20-10-28-8_enc1;28;0;117638;837570;391;0.79;193586;1659032;391;1.07;0;117638;837570;391;0.83;193586;1659032;391;1.16;0;182569;838781;391;0.48;342135;1615994;391;1.27;0;350169;77087;391;2.625658274;671575;139713;391;5.613850117;0;;;;;;;399;32.763
49;Instance-20-10-28-9_enc1;28;0;155636;1290671;355;0.97;178382;1543608;355;1.19;0;155636;1290671;355;0.97;178382;1543608;355;1.27;0;267857;1259447;355;0.65;316591;1497223;355;1.39;0;519177;107291;355;2.731904745;617613;126205;355;5.463709593;0;;;;;;;361;4.646
50;Instance-20-10-30-0_enc1;30;0;182128;1520591;465;1.36;246010;2261580;465;1.88;0;182128;1520591;465;1.4;246010;2261580;465;1.94;0;317228;1485036;465;0.88;459169;2175896;465;2.03;0;622696;130636;465;4.942328691;907895;184498;465;12.36131263;0;;;;;;;472;29.541
