instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5;status_6;vars_makespan_6;clauses_makespan_6;cost_makespan_6;time_makespan_6;vars_soc_6;clauses_soc_6;cost_soc_6;time_soc_6;status_7;vars_makespan_7;clauses_makespan_7;cost_makespan_7;time_makespan_7;vars_soc_7;clauses_soc_7;cost_soc_7;time_soc_7;status_8;vars_makespan_8;clauses_makespan_8;cost_makespan_8;time_makespan_8;vars_soc_8;clauses_soc_8;cost_soc_8;time_soc_8;status_9;vars_makespan_9;clauses_makespan_9;cost_makespan_9;time_makespan_9;vars_soc_9;clauses_soc_9;cost_soc_9;time_soc_9;status_10;vars_makespan_10;clauses_makespan_10;cost_makespan_10;time_makespan_10;vars_soc_10;clauses_soc_10;cost_soc_10;time_soc_10;status_11;vars_makespan_11;clauses_makespan_11;cost_makespan_11;time_makespan_11;vars_soc_11;clauses_soc_11;cost_soc_11;time_soc_11;status_12;vars_makespan_12;clauses_makespan_12;cost_makespan_12;time_makespan_12;vars_soc_12;clauses_soc_12;cost_soc_12;time_soc_12;status_13;vars_makespan_13;clauses_makespan_13;cost_makespan_13;time_makespan_13;vars_soc_13;clauses_soc_13;cost_soc_13;time_soc_13
55;Instance-20-10-56-3;56;0;187173;3096870;724;5.44;495232;12615273;724;10.07;0;314892;1986730;724;6.44;898914;5938175;724;13.32;0;781314;3700207;724;9.8;2667314;14802364;724;17.93;0;702916;2392098;724;6.23;2116350;7184123;724;13.74;0;443895;2124929;724;6.77;1303774;6358044;724;13.37;0;222671;2260785;724;5.75;566825;7069272;724;11.33;0;443895;2124929;724;18.4;1303774;6358044;724;34.67;0;443895;2124929;724;6.95;1303774;6358044;724;32.48;0;443895;2124929;724;19.52;1303774;6358044;724;25.32;0;443895;2124929;724;6.36;1303774;6358044;724;13.22;0;222671;2260785;724;4.86;566825;7069272;724;21.78;3;232797;3005325;-1;600;-1;-1;-1;600;0;232797;3281981;724;6.28;585105;10568944;724;14.64
56;Instance-20-10-56-7;56;0;160759;2353408;780;13.89;998494;30170984;780;70.36;1;264344;1624607;780;17.72;1857926;12364061;780;600;1;621782;2823346;780;25.12;5874775;35070977;780;600;0;579840;1956889;780;19.76;4434549;14981611;780;94.7;0;369215;1738393;780;11.84;2718564;13248411;780;94.85;0;193207;1826791;780;10.17;1121482;14917891;780;59.63;1;369215;1738393;780;25.42;2718564;13248411;780;600;1;369215;1738393;780;12.48;2718564;13248411;780;600;1;369215;1738393;780;26.83;2718564;13248411;780;600;3;369215;1738393;780;6.65;2718564;13248411;-1;600;1;193207;1826791;780;9.04;1121482;14917891;780;600;3;202688;2409645;-1;600;-1;-1;-1;600;1;202688;2637411;780;19.34;1151779;22600283;780;600
57;Instance-20-10-58-0;58;2;233774;4263528;-1;600;-1;-1;1189;600;2;402086;2556918;-1;600;-1;-1;1007;600;2;1043176;5083336;-1;600;-1;-1;1685;600;2;912416;3087078;-1;600;-1;-1;1770;600;2;571574;2736812;-1;600;-1;-1;1757;600;1;276287;2944440;746;68.9;1303391;17643838;746;600;2;571574;2736812;-1;600;-1;-1;746;600;2;571574;2736812;-1;600;-1;-1;1757;600;2;571574;2736812;-1;600;-1;-1;746;600;2;571574;2736812;-1;600;-1;-1;1757;600;1;276287;2944440;746;65.13;1303391;17643838;746;600;3;288176;3938084;-1;600;-1;-1;-1;600;2;288176;4298168;-1;600;-1;-1;943;600
58;Instance-20-10-58-3;58;0;156702;2335449;770;7.62;635521;17752373;770;17.9;0;258103;1598287;770;12.84;1167601;7744354;770;52.34;0;610934;2798138;770;18.32;3579936;20713958;770;86.74;0;567171;1923431;770;12.99;2771438;9381180;770;56.4;0;360718;1709359;770;15.51;1700743;8294666;770;73.3;0;187922;1799708;770;7.17;720485;9281238;770;18.4;1;360718;1709359;770;30.63;1700743;8294666;770;600;0;360718;1709359;770;15.94;1700743;8294666;770;89.88;0;360718;1709359;770;31.94;1700743;8294666;770;83.41;0;360718;1709359;770;8.37;1700743;8294666;770;22.72;0;187922;1799708;770;6.35;720485;9281238;770;83.49;3;197279;2369999;-1;600;-1;-1;-1;600;0;197279;2592485;770;20.04;742507;13950859;770;86.44
59;Instance-20-10-58-7;58;0;196859;3394950;678;4.01;448787;11252787;678;6.5;0;333833;2127790;678;3.1;811449;5375093;678;5.34;0;843116;4050463;678;6.98;2388940;13206897;678;11.09;0;749497;2560910;678;4.39;1905809;6496065;678;7.26;0;472031;2275244;678;3.04;1175289;5752890;678;5.27;0;233417;2430427;678;3.63;514574;6383573;678;5.86;0;472031;2275244;678;6.76;1175289;5752890;678;13.25;0;472031;2275244;678;3.29;1175289;5752890;678;7.29;0;472031;2275244;678;6.94;1175289;5752890;678;9.51;0;472031;2275244;678;3.19;1175289;5752890;678;5.69;0;233417;2430427;678;3.09;514574;6383573;678;5.97;3;243995;3227685;-1;600;-1;-1;-1;600;0;243995;3522899;678;4.3;531965;9498530;678;6.41
60;Instance-20-10-60-0;60;1;165659;2482554;837;19.05;966193;30294728;837;600;1;274009;1693502;837;37.11;1800886;12011838;837;600;1;651872;2977659;837;34.94;5739832;35090660;837;600;1;603662;2039866;837;31.81;4306832;14557634;837;600;1;383621;1812006;837;37.58;2636717;12869962;837;600;1;198718;1908084;837;27.39;1081559;14486932;837;600;1;383621;1812006;837;68.39;2636717;12869962;837;600;1;383621;1812006;837;40;2636717;12869962;837;600;1;383621;1812006;837;69.88;2636717;12869962;837;600;3;383621;1812006;837;59.35;2636717;12869962;-1;600;1;198718;1908084;837;25.97;1081559;14486932;837;600;3;208728;2516930;-1;600;-1;-1;-1;600;1;208728;2754138;837;32.04;1111777;21905148;837;600
61;Instance-20-10-60-3;60;0;183734;2947635;871;6.03;507731;13256879;871;11.88;0;307828;1931312;871;4.38;923493;6107840;871;9.94;0;753243;3526428;871;9.26;2757164;15521440;871;17.96;0;685126;2326298;871;6.27;2178023;7391526;871;12.37;0;433066;2065834;871;5.28;1340335;6539810;871;12.04;0;219452;2190941;871;6.43;580097;7272957;871;12.08;0;433066;2065834;871;8.18;1340335;6539810;871;23.94;0;433066;2065834;871;5.67;1340335;6539810;871;22.13;0;433066;2065834;871;8.77;1340335;6539810;871;16.05;0;433066;2065834;871;4.78;1340335;6539810;871;12.46;0;219452;2190941;871;5.71;580097;7272957;871;21.05;3;230122;2890710;-1;600;-1;-1;-1;600;0;230122;3160046;871;6.82;599563;10851046;871;11.65
62;Instance-20-10-60-7;60;0;122647;1545168;906;12.08;624189;17522824;906;55.08;1;193853;1164274;906;17.83;1146638;7604298;906;600;1;422501;1852760;906;17.77;3515394;20430945;906;600;1;412087;1397066;906;15.66;2721070;9211066;906;600;0;266411;1244570;906;16.49;1670139;8144715;906;75.1;0;148579;1286872;906;9.03;707649;9108193;906;49.58;1;266411;1244570;906;43.78;1670139;8144715;906;600;1;266411;1244570;906;17.48;1670139;8144715;906;600;1;266411;1244570;906;45.87;1670139;8144715;906;600;3;266411;1244570;906;19.68;1670139;8144715;-1;600;1;148579;1286872;906;8.1;707649;9108193;906;600;3;156919;1667078;-1;600;-1;-1;-1;600;0;156919;1827884;906;9.93;729857;13675083;906;80.67
63;Instance-20-10-62-0;62;0;213641;3816083;809;9.06;697201;20726457;809;16.03;0;365894;2310380;809;5.81;1288823;8551250;809;13.08;0;940789;4552952;809;14.38;4025083;24072018;809;25.43;0;828026;2791142;809;9.08;3069095;10364504;809;17.55;0;519277;2473484;809;5.94;1881559;9161665;809;13.44;0;252928;2655199;809;6.07;785644;10276091;809;12.17;0;519277;2473484;809;12.28;1881559;9161665;809;49.27;0;519277;2473484;809;6.3;1881559;9161665;809;54.44;0;519277;2473484;809;11.97;1881559;9161665;809;20.57;0;519277;2473484;809;7.56;1881559;9161665;809;21.11;0;252928;2655199;809;5.13;785644;10276091;809;31.85;3;264638;3534010;-1;600;-1;-1;-1;600;0;264638;3860440;809;9.62;809758;15465407;809;16.38
64;Instance-20-10-62-3;62;0;188147;3078849;884;8.2;707345;20890404;884;17.82;0;317121;1981838;884;8.22;1307426;8661268;884;17.38;0;784166;3684225;884;14.22;4076258;24277349;884;30.59;0;708947;2391516;884;16.14;3114464;10502560;884;29.92;0;447153;2121227;884;10.02;1908531;9280405;884;22.25;0;224587;2256380;884;6.66;797638;10406021;884;15.5;0;447153;2121227;884;37.56;1908531;9280405;884;71.99;0;447153;2121227;884;11.18;1908531;9280405;884;45.05;0;447153;2121227;884;37.55;1908531;9280405;884;49.71;3;447153;2121227;884;11.38;1908531;9280405;-1;600;0;224587;2256380;884;5.61;797638;10406021;884;23;3;235587;2983702;-1;600;-1;-1;-1;600;0;235587;3262826;884;10.29;822168;15665576;884;19.76
65;Instance-20-10-62-7;62;0;198481;3396730;797;14.66;1579804;54738515;773;51.5;1;337595;2115871;797;15.39;2979864;19985995;797;600;1;854326;4061863;797;26.57;9810519;63000153;797;600;1;759848;2555761;797;16.17;7163293;24217359;797;600;1;477871;2265435;797;12.7;4381064;21418118;797;600;0;235598;2424063;797;12.21;1747824;24229744;773;43.74;1;477871;2265435;797;45.58;4381064;21418118;788;600;1;477871;2265435;797;13.77;4381064;21418118;783;600;1;477871;2265435;797;45.35;4381064;21418118;797;600;1;477871;2265435;797;10.99;4381064;21418118;1653;600;1;235598;2424063;797;10.62;1747824;24229744;777;600;3;246775;3220351;-1;600;-1;-1;-1;600;1;246775;3519777;797;19.46;1792555;36816531;797;600
66;Instance-20-10-64-0;64;1;201238;3536148;897;27.23;647976;19176083;897;600;1;342664;2176218;897;22.84;1195597;7984010;897;600;1;871738;4215989;897;41.57;3720423;22265160;897;600;1;772240;2623782;897;34.4;2846020;9666464;897;600;1;485140;2328035;897;37.64;1744248;8549291;897;600;1;238673;2493705;897;12.01;730806;9574750;897;600;1;485140;2328035;897;94.19;1744248;8549291;897;600;1;485140;2328035;897;41.54;1744248;8549291;897;600;1;485140;2328035;897;95.57;1744248;8549291;897;600;3;485140;2328035;897;43.23;1744248;8549291;-1;600;1;238673;2493705;897;10.41;730806;9574750;897;600;3;250128;3303484;-1;600;-1;-1;-1;600;1;250128;3607496;897;29.41;754003;14347201;897;600
67;Instance-20-10-64-3;64;1;217209;3838010;1018;47.81;1457871;50915934;1018;600;1;371069;2342524;1018;65.95;2747927;18451157;1018;600;0;-1;-1;-1;600;-1;-1;-1;600;1;837989;2828680;1018;67.01;6606132;22355551;1018;600;3;526149;2507714;1018;97.37;4039077;19771173;-1;600;1;257569;2687322;1018;52.86;1612997;22343455;1018;600;1;526149;2507714;1018;55.21;4039077;19771173;1018;600;2;526149;2507714;-1;600;-1;-1;1433;600;1;526149;2507714;1018;56.54;4039077;19771173;1018;600;1;526149;2507714;1018;88.73;4039077;19771173;1594;600;1;257569;2687322;1018;48.12;1612997;22343455;1018;600;3;269881;3569106;-1;600;-1;-1;-1;600;3;269881;3899598;1018;89.77;-1;-1;-1;600
68;Instance-20-10-64-7;64;1;168892;2564304;970;21.92;723561;21802609;970;600;1;280336;1728744;970;57.83;1339425;8884178;970;600;1;671702;3076090;970;51.79;4200271;25297368;970;600;1;619795;2085336;970;27.24;3194433;10773692;970;600;1;392974;1850358;970;37.72;1956343;9519145;970;600;1;202418;1952821;970;38.32;814285;10685505;970;600;1;392974;1850358;970;40.81;1956343;9519145;970;600;1;392974;1850358;970;42.33;1956343;9519145;970;600;1;392974;1850358;970;41.81;1956343;9519145;970;600;3;392974;1850358;970;78.97;1956343;9519145;-1;600;1;202418;1952821;970;35.22;814285;10685505;970;600;3;213030;2571321;-1;600;-1;-1;-1;600;1;213030;2814921;970;59.05;839605;16078501;970;600
69;Instance-20-10-66-0;66;0;239970;4355198;930;10.68;904425;29203846;930;22.34;0;414601;2616101;930;11.34;1687245;11219427;930;35.21;0;1077636;5203385;930;19.68;5408096;33728125;930;66.7;0;944358;3166263;930;9.83;4041456;13612185;930;30.6;0;590208;2802229;930;18.06;2471007;12023797;930;44.93;0;283797;3013471;930;8.17;1014283;13775727;930;21.81;1;590208;2802229;930;71.57;2471007;12023797;930;600;0;590208;2802229;930;19.42;2471007;12023797;930;77.82;0;590208;2802229;930;73.56;2471007;12023797;930;96.85;3;590208;2802229;930;17.49;2471007;12023797;-1;600;0;283797;3013471;930;7.1;1014283;13775727;930;46.44;3;297157;4015344;-1;600;-1;-1;-1;600;0;297157;4387922;930;12.77;1044423;20668004;930;34.29
70;Instance-20-10-66-3;66;1;146213;2095007;993;22.53;1232272;42911339;993;600;1;238976;1470531;993;19.1;2318604;15559520;993;600;1;554924;2512046;993;41.73;7618978;49323034;993;600;1;522224;1769619;993;19.11;5572581;18855494;993;600;1;332999;1572882;993;25.32;3406020;16671925;993;600;1;176114;1647300;993;17.53;1373168;19365584;993;600;1;332999;1572882;993;36.89;3406020;16671925;993;600;1;332999;1572882;993;28.9;3406020;16671925;993;600;1;332999;1572882;993;36.57;3406020;16671925;993;600;1;332999;1572882;993;20.84;3406020;16671925;1597;600;1;176114;1647300;993;18.2;1373168;19365584;993;600;3;185955;2146302;-1;600;-1;-1;-1;600;1;185955;2351148;993;49.44;1410612;29046335;993;600
71;Instance-20-10-66-7;66;2;202935;3651005;-1;600;-1;-1;1214;600;2;345991;2199514;-1;600;-1;-1;1957;600;2;887046;4344504;-1;600;-1;-1;1294;600;2;780002;2651304;-1;600;-1;-1;1750;600;2;490221;2353132;-1;600;-1;-1;1945;600;2;240239;2525046;-1;600;-1;-1;1930;600;2;490221;2353132;-1;600;-1;-1;1189;600;2;490221;2353132;-1;600;-1;-1;1945;600;2;490221;2353132;-1;600;-1;-1;1189;600;2;490221;2353132;-1;600;-1;-1;1945;600;2;240239;2525046;-1;600;-1;-1;1930;600;3;252069;3331971;-1;600;-1;-1;-1;600;2;252069;3639377;-1;600;-1;-1;1660;600
72;Instance-20-10-68-0;68;1;269999;5400454;992;75.84;1488325;54245280;992;600;3;472517;3022076;992;96.24;2812601;18887009;-1;600;2;1274864;6416211;-1;600;-1;-1;1339;600;2;1085484;3655840;-1;600;-1;-1;2167;600;2;676117;3236568;-1;600;-1;-1;2289;600;1;316483;3513464;992;66.07;1652547;23709133;992;600;2;676117;3236568;-1;600;-1;-1;1872;600;2;676117;3236568;-1;600;-1;-1;2289;600;2;676117;3236568;-1;600;-1;-1;1872;600;3;676117;3236568;992;95.09;4137917;20240519;-1;600;1;316483;3513464;992;63.04;1652547;23709133;992;600;3;330801;4699129;-1;600;-1;-1;-1;600;2;330801;5128405;-1;600;-1;-1;1498;600
73;Instance-20-10-68-3;68;1;123502;1649669;1019;15.98;1277084;45851270;1019;600;1;197512;1199362;1019;12.83;2407894;16199547;1019;600;1;442342;1976011;1019;27.69;7988875;52588000;1019;600;1;423792;1439744;1019;15.61;5796933;19631245;1019;600;1;272746;1282098;1019;15.28;3539676;17356268;1019;600;1;149096;1333434;1019;14.1;1419967;20263084;1019;600;1;272746;1282098;1019;55.65;3539676;17356268;1019;600;1;272746;1282098;1019;17.09;3539676;17356268;1019;600;1;272746;1282098;1019;53.37;3539676;17356268;1019;600;3;272746;1282098;1019;10.11;3539676;17356268;-1;600;1;149096;1333434;1019;12.65;1419967;20263084;1019;600;3;158046;1719466;-1;600;-1;-1;-1;600;1;158046;1885238;1019;24.16;1458655;30341110;1019;600
74;Instance-20-10-68-7;68;3;195070;3292311;977;97.18;1152267;40329669;-1;600;2;330510;2070646;-1;600;-1;-1;1996;600;2;828640;3935305;-1;600;-1;-1;1221;600;2;741597;2499568;-1;600;-1;-1;1725;600;2;467100;2216660;-1;600;-1;-1;1970;600;2;232144;2364481;-1;600;-1;-1;1880;600;2;467100;2216660;-1;600;-1;-1;978;600;2;467100;2216660;-1;600;-1;-1;1970;600;2;467100;2216660;-1;600;-1;-1;978;600;2;467100;2216660;-1;600;-1;-1;1970;600;2;232144;2364481;-1;600;-1;-1;1880;600;3;244085;3118693;-1;600;-1;-1;-1;600;2;244085;3410955;-1;600;-1;-1;1515;600
75;Instance-20-10-70-0;70;1;165176;2619088;894;93.05;1042121;36570516;894;600;2;276269;1726336;-1;600;-1;-1;1757;600;2;674072;3136386;-1;600;-1;-1;1483;600;2;614103;2080068;-1;600;-1;-1;1353;600;2;388526;1846995;-1;600;-1;-1;1727;600;1;197273;1957182;894;73.69;1161072;16384369;894;600;2;388526;1846995;-1;600;-1;-1;895;600;2;388526;1846995;-1;600;-1;-1;1727;600;2;388526;1846995;-1;600;-1;-1;895;600;2;388526;1846995;-1;600;-1;-1;1727;600;1;197273;1957182;894;72.33;1161072;16384369;894;600;3;208002;2564921;-1;600;-1;-1;-1;600;2;208002;2806311;-1;600;-1;-1;1460;600
76;Instance-20-10-70-3;70;3;202586;3716526;921;97.22;-1;-1;-1;600;2;347307;2207127;-1;600;-1;-1;1998;600;2;900379;4423365;-1;600;-1;-1;1089;600;2;786006;2663025;-1;600;-1;-1;1912;600;2;493026;2361892;-1;600;-1;-1;1945;600;2;239196;2541721;-1;600;-1;-1;1492;600;2;493026;2361892;-1;600;-1;-1;928;600;2;493026;2361892;-1;600;-1;-1;1945;600;2;493026;2361892;-1;600;-1;-1;928;600;2;493026;2361892;-1;600;-1;-1;1945;600;2;239196;2541721;-1;600;-1;-1;1492;600;3;251213;3359145;-1;600;-1;-1;-1;600;2;251213;3668895;-1;600;-1;-1;1139;600
77;Instance-20-10-70-7;70;1;170558;2915359;904;14.94;581263;17571714;904;600;1;287558;1815245;904;23.28;1072676;7143309;904;600;1;721850;3474895;904;27.26;3355341;20360589;904;600;1;642798;2186005;904;80.72;2553079;8651959;904;600;1;405686;1941617;904;50.45;1565037;7650467;904;600;1;202412;2074053;904;30.02;655850;8665189;904;600;2;405686;1941617;-1;600;-1;-1;904;600;1;405686;1941617;904;54.69;1565037;7650467;904;600;2;-1;-1;-1;600;-1;-1;-1;600;3;405686;1941617;904;68.71;1565037;7650467;-1;600;1;202412;2074053;904;28.81;655850;8665189;904;600;3;213226;2718719;-1;600;-1;-1;-1;600;1;213226;2971793;904;50.78;678160;12886151;904;600
